742148,nan,9,30
357701,-0.027607361963182513,0.0915000000000049,11,22
129876,-0.04296323574540795,0.07700000000000103,11,23
145636,0.0490767437580419,0.03950000000000103,11,24
109253,-0.07852305440559924,0.03157999999999674,11,25
270835,0.013320745126867145,0.024030000000001907,11,26
189840,0.06514937733881429,-0.005379999999996699,11,27
149274,0.08581060373889965,-0.040790000000001214,11,28
132881,-0.04905868645367788,-0.06219999999999857,11,29
103984,0.06379688933477601,-0.06006000000000427,11,30
117143,0.07403778437795254,-0.05940999999999974,11,31
72625,-0.0030620368669210933,-0.05049999999999671,11,32
97225,-0.1410523733594933,-0.009590000000000033,11,33
125717,0.006132335806703198,0.04432000000000187,11,34
138946,0.0,0.06699999999999875,11,35
91810,-0.030671083302651784,0.05299999999999727,11,36
154692,-0.006134592969768313,0.015000000000000568,11,37
161829,-0.018407166523500513,0.02400000000000091,11,38
167871,-0.006136098668461008,0.02400000000000091,11,39
181841,0.1898579127878505,-0.04799999999999898,11,40
184888,0.1284482231329182,-0.12600000000000477,11,41
270906,0.11608015640273564,-0.19200000000000444,11,42
199756,0.036643459142544445,-0.19400000000000261,11,43
121815,-0.06722483652142862,-0.09499999999999886,11,44
117830,0.0,-0.022999999999996135,11,45
110933,-0.07951070336391158,0.047000000000002734,11,46
87214,0.015288182235135717,0.05600000000000023,11,47
72489,-0.015290519877679317,0.03649999999999807,11,48
91669,-0.050116847521780215,0.042379999999997156,11,49
85071,-0.0355656219392728,0.03868999999999687,11,50
109631,-0.11030763573967815,0.08299999999999841,11,51
104143,0.07960320862163704,0.06180999999999984,11,52
51052,-0.018373346398824802,0.03262000000000285,11,53
96251,0.06732358161453285,-0.015999999999993974,11,54
54747,-0.06994300441338064,-0.02715999999999781,11,55
169962,-0.16305748113613455,0.06042000000000201,11,56
118275,0.07356096364862659,0.06800000000000068,11,57
68351,-0.02145988534289622,0.07357999999999834,11,58
74370,-0.027598896044150563,0.036659999999997694,11,59
225705,-0.06750951270407121,0.021999999999997046,12,0
137459,0.03067672863366548,0.04349999999999739,12,1
115242,-0.030686142138217364,0.037000000000000456,12,2
71810,0.021475686454975666,0.015000000000003412,12,3
78320,-0.01178233606903447,-0.001660000000001105,12,4
112828,-0.06496776174394617,0.026420000000001664,12,5
82166,0.01841846758349775,0.024500000000000455,12,6
139313,-0.07987711213517386,0.05258000000000038,12,7
180846,0.04299226139294508,0.03716000000000293,12,8
294924,-0.0028867065932903684,0.012939999999997554,12,9
164263,-0.06471636654169978,0.027469999999996733,12,10
129286,-0.0030730463108051085,0.01999999999999602,12,11
143419,-0.039965568125938364,0.047030000000000884,12,12
181008,0.11668611435240812,0.004060000000001196,12,13
174447,0.06137605106487099,-0.05649999999999977,12,14
115729,0.009635111573966773,-0.07713999999999716,12,15
75491,0.02717958156943438,-0.0815700000000021,12,16
84486,-0.006135722174511797,-0.03599999999999568,12,17
199104,0.09195120456078323,-0.04342999999999791,12,18
129121,-0.05520117762512477,-0.032859999999999445,12,19
100341,-0.018403778909270068,-0.00999999999999659,12,20
105077,-0.042960598993490355,0.019999999999998866,12,21
79737,-0.02394092117297455,0.055799999999996436,12,22
85791,0.007120382339970743,0.03637999999999693,12,23
95900,0.0106794328852938,0.018739999999996825,12,24
65493,-0.010926130762456122,0.0026599999999973537,12,25
77439,-0.0013504388926500455,-0.0017599999999987404,12,26
64228,0.006137981831568196,0.0005200000000030513,12,27
67321,-0.007366120755273194,0.003620000000006485,12,28
95173,0.03190967108494165,-0.009359999999998082,12,29
155886,0.03067296484877182,-0.02400000000000091,12,30
91433,-0.015338834862089923,-0.02320000000000562,12,31
